http://dx.doi.org/10.1007/s10288-014-0263-6no abstract
http://dx.doi.org/10.1007/s10288-014-0263-6no keywords
http://dx.doi.org/10.1007/s10288-014-0263-6no regerences
http://dx.doi.org/10.1109/TIT.2012.2193375 no abstract_html_url
http://dx.doi.org/10.1109/TIT.2012.2193375 no pdf_url
http://dx.doi.org/10.1109/TIT.2012.2193375 no doi
http://dx.doi.org/10.1109/TIT.2012.2193375 no title
http://dx.doi.org/10.1109/TIT.2012.2193375 no publisher
http://dx.doi.org/10.1109/TIT.2012.2193375 no journal_title
http://dx.doi.org/10.1109/TIT.2012.2193375 no volume
http://dx.doi.org/10.1109/TIT.2012.2193375 no issue
http://dx.doi.org/10.1109/TIT.2012.2193375 no first_page
http://dx.doi.org/10.1109/TIT.2012.2193375 no last_page
http://dx.doi.org/10.1109/TIT.2012.2193375 no issn
http://dx.doi.org/10.1109/TIT.2012.2193375 no date_of_publication
http://dx.doi.org/10.1109/TIT.2012.2193375 no authors
http://dx.doi.org/10.1109/TIT.2012.2193375 no institution
http://dx.doi.org/10.1109/TIT.2012.2193375 no keywords
http://dx.doi.org/10.1109/TIT.2012.2208580 no regerences
http://dx.doi.org/10.1109/TIT.2010.2096632 no institution
http://dx.doi.org/10.1109/TIT.2010.2096632 no regerences
http://dx.doi.org/10.1109/TIT.2011.2145610 no abstract_html_url
http://dx.doi.org/10.1109/TIT.2011.2145610 no pdf_url
http://dx.doi.org/10.1109/TIT.2011.2145610 no doi
http://dx.doi.org/10.1109/TIT.2011.2145610 no title
http://dx.doi.org/10.1109/TIT.2011.2145610 no publisher
http://dx.doi.org/10.1109/TIT.2011.2145610 no journal_title
http://dx.doi.org/10.1109/TIT.2011.2145610 no volume
http://dx.doi.org/10.1109/TIT.2011.2145610 no issue
http://dx.doi.org/10.1109/TIT.2011.2145610 no first_page
http://dx.doi.org/10.1109/TIT.2011.2145610 no last_page
http://dx.doi.org/10.1109/TIT.2011.2145610 no issn
http://dx.doi.org/10.1109/TIT.2011.2145610 no date_of_publication
http://dx.doi.org/10.1109/TIT.2011.2145610 no authors
http://dx.doi.org/10.1109/TIT.2011.2145610 no institution
http://dx.doi.org/10.1109/TIT.2011.2145610 no keywords
http://dx.doi.org/10.1109/TIT.2011.2162990 no regerences
http://dx.doi.org/10.1109/TIT.2011.2165821 no institution
http://dx.doi.org/10.1109/TIT.2009.2036971 no institution
http://dx.doi.org/10.1109/TIT.2009.2036971 no abstract
http://dx.doi.org/10.1109/TIT.2009.2036971 no regerences
http://dx.doi.org/10.1109/TIT.2010.2040974 no abstract_html_url
http://dx.doi.org/10.1109/TIT.2010.2040974 no pdf_url
http://dx.doi.org/10.1109/TIT.2010.2040974 no doi
http://dx.doi.org/10.1109/TIT.2010.2040974 no title
http://dx.doi.org/10.1109/TIT.2010.2040974 no publisher
http://dx.doi.org/10.1109/TIT.2010.2040974 no journal_title
http://dx.doi.org/10.1109/TIT.2010.2040974 no volume
http://dx.doi.org/10.1109/TIT.2010.2040974 no issue
http://dx.doi.org/10.1109/TIT.2010.2040974 no first_page
http://dx.doi.org/10.1109/TIT.2010.2040974 no last_page
http://dx.doi.org/10.1109/TIT.2010.2040974 no issn
http://dx.doi.org/10.1109/TIT.2010.2040974 no date_of_publication
http://dx.doi.org/10.1109/TIT.2010.2040974 no authors
